mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,mention_type,explicit_payload,explicit_locator,effective_locator,relation_type,relation_surface,antecedent_mention_id,explicit_author,inherited_author,inherited_work_id,resolved_work_id,candidate_work_ids,resolution,resolution_method,confidence,abbreviation,abbreviation_expansion,source_family,warnings
mention-0490,ИСТОЧНИК_ВЕРСИЯ_3.docx,138,138,1,"Libro de las Costumbres Generales Escritas de la Insigne Ciudad de Tortosa: texto auténtico del siglo XIII / ed. F. J. Gas Carpio. Tortosa: La Voz del Bajo Ebro, 1956–1958.",full_reference,"Libro de las Costumbres Generales Escritas de la Insigne Ciudad de Tortosa: texto auténtico del siglo XIII / ed. F. J. Gas Carpio. Tortosa: La Voz del Bajo Ebro, 1956–1958.",,,,,,,,,korneeva-sources-031,korneeva-sources-031,resolved_explicit,exact_title,0.98,,,,
mention-0491,ИСТОЧНИК_ВЕРСИЯ_3.docx,139,139,1,"Consuetudines Dertosae: VII centenari 1272–1972 (“Llibre de les costums de Tortosa”) / pról. J. Massip i Fonollosa. Tarragona: Institut d’Estudis Tarraconenses Ramon Berenguer IV, 1972.",full_reference,"Consuetudines Dertosae: VII centenari 1272–1972 (“Llibre de les costums de Tortosa”) / pról. J. Massip i Fonollosa. Tarragona: Institut d’Estudis Tarraconenses Ramon Berenguer IV, 1972.",,,,,,,,,korneeva-sources-009,korneeva-sources-009,resolved_explicit,exact_title,0.98,,,,
mention-0492,ИСТОЧНИК_ВЕРСИЯ_3.docx,140,140,1,Curto Homedes A. Els Costums de Tortosa. Els diferents manuscrits i edicions // Revista de Dret Històric Català. 2023. Vol. 22. P. 109.,full_reference,Curto Homedes A. Els Costums de Tortosa. Els diferents manuscrits i edicions // Revista de Dret Històric Català. 2023. Vol. 22. P. 109.,Vol. 22; P. 109,Vol. 22; P. 109,,,,,,,korneeva-research-220,korneeva-research-220,resolved_explicit,exact_title,0.98,,,,
mention-0493,ИСТОЧНИК_ВЕРСИЯ_3.docx,141,141,1,"Costums de Tortosa / ed. crít. J. Massip i Fonollosa. Barcelona: Fundació Noguera, 1996.",full_reference,"Costums de Tortosa / ed. crít. J. Massip i Fonollosa. Barcelona: Fundació Noguera, 1996.",,,,,,,,,work-family-costums_de_tortosa,korneeva-sources-005;korneeva-sources-014,resolved_work_edition_ambiguous,work_resolved_edition_ambiguous,0.9,,,costums_de_tortosa,
mention-0494,ИСТОЧНИК_ВЕРСИЯ_3.docx,142,142,1,"Calzada González M. A. El principio ei incumbit probatio qui dicit, non qui negat y su recepción en Les Furs de Valencia y en Les Costums de Tortosa // La prueba y medios de prueba. De Roma al derecho moderno. Madrid: Universidad Rey Juan Carlos, Servicio de Publicaciones, 2000. P. 109–120.",full_reference,"Calzada González M. A. El principio ei incumbit probatio qui dicit, non qui negat y su recepción en Les Furs de Valencia y en Les Costums de Tortosa // La prueba y medios de prueba. De Roma al derecho moderno. Madrid: Universidad Rey Juan Carlos, Servicio de Publicaciones, 2000. P. 109–120.",P. 109–120,P. 109–120,,,,,,,korneeva-research-212,korneeva-research-212,resolved_explicit,exact_title,0.98,,,,
mention-0495,ИСТОЧНИК_ВЕРСИЯ_3.docx,143,143,1,Более подробно об историческом контексте см.,commentary,Более подробно об историческом контексте см.,,,,,,,,,,,not_bibliographic,commentary_or_internal_cross_reference,,,,,
mention-0496,ИСТОЧНИК_ВЕРСИЯ_3.docx,143,143,2,"Кучумов В.А. Кортесы Арагона и Каталонии: генезис и специфика // Проблемы испанской истории [Текст] : сб / под ред. Пожарская С.П. Москва: Наука, 1992. С. 146–147.",full_reference,"Кучумов В.А. Кортесы Арагона и Каталонии: генезис и специфика // Проблемы испанской истории [Текст] : сб / под ред. Пожарская С.П. Москва: Наука, 1992. С. 146–147.",С. 146–147,С. 146–147,,,,,,,korneeva-research-070,korneeva-research-070,resolved_explicit,exact_title,0.98,,,,
mention-0497,ИСТОЧНИК_ВЕРСИЯ_3.docx,144,144,1,Recognoverunt proceres. I.: «…antiqui et sapientes in iure…». P. 590.,short_title_reference,Recognoverunt proceres. I.: «…antiqui et sapientes in iure…». P. 590.,P. 590,P. 590,,,,,,,korneeva-sources-034,korneeva-sources-034,resolved_explicit,source_family_unique,0.97,,,recognoverunt_proceres,
mention-0498,ИСТОЧНИК_ВЕРСИЯ_3.docx,145,145,1,Archivo de la Corona de Aragón. Cancillería. Consell de Cent. Pergaminos. Núm. 5131.,short_title_reference,Archivo de la Corona de Aragón. Cancillería. Consell de Cent. Pergaminos. Núm. 5131.,Núm. 5131.,Núm. 5131.,,,,,,,korneeva-institution-020,korneeva-institution-020,resolved_explicit,explicit_archival_repository_and_shelfmark,1.0,,,,
mention-0499,ИСТОЧНИК_ВЕРСИЯ_3.docx,146,146,1,Real Biblioteca del Monasterio de El Escorial. Sign. O-I-12. Fols. 17–33.,possible_reference,Real Biblioteca del Monasterio de El Escorial. Sign. O-I-12. Fols. 17–33.,,,,,,,,,korneeva-institution-021,korneeva-institution-021,resolved_explicit,explicit_archival_repository_and_shelfmark,1.0,,,,
