mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,kind,locator,matched_key,match_score,match_method,resolution,abbreviation,abbreviation_expansion
mention-0257,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,164,164,1,Heusch C. Penser la traduction au Moyen Âge. Problèmes et perspectives // Cahiers d’études hispaniques médiévales. 2018. Т. 41. № 1. P. 19.,full_reference,Т. 41; P. 19,,0.339,below_threshold,unresolved,,
mention-0258,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,165,165,1,Rubio García L. Comparación entre el texto latino y el catalán de los Usatges de Barcelona // Glossae: European Journal of Legal History. 1995. № 7. P. 33–50.,full_reference,P. 33–50,korneeva-sources-040,0.98,exact_title,matched,,
mention-0259,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,166,166,1,Ibid. P. 33.,short_reference,P. 33,korneeva-sources-040,1.0,sequential_short_reference,matched,,
mention-0260,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,167,167,1,Ibid.,short_reference,,korneeva-sources-040,1.0,sequential_short_reference,matched,,
mention-0261,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,168,168,1,"Diez de Revenga P., García Diaz I. Manuscritos y copistas: Los Usatici Barcinonae // Glossae: European Journal of Legal History. Murcia, 1995. № 7. P. 82.",full_reference,P. 82,korneeva-research-226,0.98,exact_title,matched,,
mention-0262,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,169,169,1,"Morán i Ocerinjauregui J. El proceso de creación del catalán escrito // Aemilianense: revista internacional sobre la génesis y los orígenes históricos de las lenguas romances. San Millán de La Cogolla, 2004. Vol. 1. P. 437.",full_reference,Vol. 1; P. 437,,0.593,below_threshold,unresolved,,
mention-0263,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,170,170,1,Meyer-Hermann R. Auxiliar-Konstruktionen im llatímedieval katalanischer Urkunden (10.–13. Jh.) und in den Usatici Barchinonae / Usatges de Barcelona (12. – 15. Jh.) // Zeitschrift für romanische Philologie (ZrP). 2019. Bd. 2 (135). S. 507–534,full_reference,Bd. 2 (135),korneeva-sources-040,0.98,exact_title,matched,,
mention-0264,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,170,170,2,Idem. Zur Emergenz katalanischer Syntax in den Usatici Barchinonae / Usatges de Barcelona (12.–15. Jhdt.) // Zeitschrift für romanische Philologie (ZrP). 2020. Bd. 33. S. 155–199.,full_reference,Bd. 33,korneeva-research-341,0.98,exact_title,matched,,
mention-0265,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,171,171,1,Idem. Zur Emergenz katalanischer Syntax... S. 185.,short_reference,,korneeva-research-341,0.604,token_overlap,matched,,
mention-0266,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,172,172,1,"Mayer Olivé M. Algunas notas a propósito de la compilación de los ""Usatges"" de Barcelona. // Estudios de Latín Medieval Hispánico: Actas del V Congreso Hispánico de Latín Medieval, Barcelona, 7–10 de septiembre de 2009. Barcelona, 2012. P. 995–1002.",full_reference,P. 995–1002,korneeva-research-337,0.98,exact_title,matched,,
mention-0267,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,173,173,1,"Среди таких обзоров стоит упомянуть, например, очерк В.А. Ведюшкина, И.С. Пичугиной и Г.А. Поповой в коллективной монографии «История Испании» 2012 года:",commentary,,,,,not_bibliographic,,
mention-0268,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,173,173,2,"Ведюшкин В.А., Пичугина И.С., Попова Г.А. Введение // История Испании под ред. В.А. Ведюшкина, Г.А. Поповой, М.: Индрик, 2012. T. 1. C. 11–17. А также краткий очерк И.С. Филиппова (что важно, посвящённый изучению именно каталонской истории в отечественной традиции):",full_reference,,,0.498,below_threshold,unresolved,,
mention-0269,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,173,173,3,"Filippov I. Medieval Catalonia in Russian Research // Catalunya i Europa a través de l’Edat Mitjana. 2002. P. 113–122. В другом историографическом обзоре, несмотря на его обстоятельность и актуальность, содержится ряд неточностей:",full_reference,P. 113–122,korneeva-research-238,0.98,exact_title,matched,,
mention-0270,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,173,173,4,"Ауров О.В. Изучение средневековой истории Испании в России и СССР: люди, эпохи, идеи // Новый исторический вестник. 2015. Т. 13. № 160. С. 174–201.",full_reference,Т. 13; С. 174–201,korneeva-research-009,0.98,exact_title,matched,,
mention-0271,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,174,174,1,"Лучицкий И. В. Поземельная община в Пиренеях // Отечественные записки. 1883. № 9–10, 12 (270–271). C. 57–78, 467–506, 415–442; Он же.",full_reference,,korneeva-research-073,0.98,exact_title,matched,,
mention-0272,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,174,174,2,"Brutailis A. Русские рабы и рабство в Руссильоне в XIV и XV вв. A. Brutails, étude sur l’esclavage en Roussillon du XIII au XVII s. 1886: Рец. Киев: Унив. тип, 1886. 30 c.",full_reference,,korneeva-research-074,0.98,exact_title,matched,,
mention-0273,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,175,175,1,Пискорский В.К. Крепостное право в Каталонии в средние века. Киев: Тип. Ун-та св.,commentary,,,,,not_bibliographic,,
mention-0274,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,175,175,2,"Владимира Н.Т. Корчак-Новицкого, 1901.",full_reference,"Т. Корчак-Новицкого, 1901",,0.669,below_threshold,unresolved,,
